"","N_hits","True_Positives","False_Positives","False_Negatives","Spearman","Kendall"
"facs.pcs.top.sex",5,5,0,0,1,1
"facs.top.sex",0,0,0,5,0.63609412246551,0.420252252252252
"decon.top.sex",0,0,0,5,0.428699846835486,0.241061061061061
"decon.pcs.top.sex",0,0,0,5,0.457980696728659,0.264136136136136
"refactor.top.sex",0,0,0,5,0.29845474907876,0.255071071071071
"reffreecellmix.top.sex",0,0,0,5,0.147928639184586,0.235751751751752
"ruv.top.sex",0,0,0,5,0.426245606907368,0.203683683683684
"sva.sup.top.sex",4,0,4,5,0.560114904349706,0.279055055055055
"sva.unsup.top.sex",0,0,0,5,0.273386922243416,0.247483483483483
"uncorrected.top.sex",631,4,627,1,0.594893555097359,0.282618618618619
